"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.277734519E0	-1.742806658E-2	1.616744697E-2	4.974365234E-3	2.428720148E-2
1.282800437E0	9.998578578E-3	-2.315258980E-2	-4.570007324E-3	2.563004009E-2
1.287896873E0	-1.739725471E-2	-7.430970669E-3	1.090431213E-2	2.183547159E-2
1.292962791E0	-6.584297866E-3	3.304168582E-3	1.436901093E-2	1.614741414E-2
1.298028709E0	6.515298039E-3	-2.888566256E-2	-5.104637146E-2	5.901324130E-2
1.303094627E0	-5.382698029E-3	-4.912734032E-3	-1.262569427E-2	1.457794737E-2
1.308160545E0	2.804565802E-2	2.836288512E-2	-1.014518738E-2	4.115746607E-2
1.313287498E0	6.482243538E-3	7.983714342E-3	-2.786922455E-2	2.970610801E-2
1.318353416E0	4.037603736E-3	1.389083266E-2	3.232955933E-3	1.482260031E-2
1.323419334E0	2.065531909E-2	-2.900958061E-3	8.296966553E-4	2.087453379E-2
1.328485252E0	1.426994801E-3	-5.626231432E-4	-2.750396729E-3	3.149212779E-3
1.333551170E0	2.198815346E-4	-3.968983889E-3	4.951000214E-2	4.966932144E-2
1.338617088E0	-8.898340166E-4	-7.412925363E-3	1.587009430E-2	1.753861910E-2
1.343683006E0	7.513463497E-3	-1.429274678E-3	-8.003234863E-3	1.107008257E-2
1.348748923E0	1.234148815E-2	2.463851869E-2	3.925323486E-3	2.783481808E-2
1.353814841E0	1.248261705E-2	2.195936441E-2	7.446289062E-3	2.633394453E-2
1.358911277E0	-4.877597094E-4	2.759420872E-2	2.876377106E-2	3.986267414E-2
1.363977195E0	-1.908540726E-4	-9.599804878E-3	3.584861755E-3	1.024909327E-2
1.369043113E0	-1.780700311E-2	-1.062135398E-2	-3.569602966E-3	2.103912036E-2
1.374109031E0	-9.195804596E-3	4.995271564E-3	1.214027405E-3	1.053515176E-2
1.379205466E0	-1.255119219E-2	1.087588072E-2	-1.898193359E-2	2.522163773E-2
1.384271384E0	-7.553782314E-3	-3.567129374E-3	1.086235046E-2	1.370309078E-2
1.389337302E0	-1.220425591E-2	-2.367079258E-3	2.738666534E-2	3.007617604E-2
1.394403220E0	-5.040481687E-3	-1.772463322E-2	3.903770447E-2	4.316840799E-2
1.399469138E0	-3.131553531E-4	1.801806688E-2	-1.659393311E-3	1.809702701E-2
1.404535056E0	-1.586480066E-2	7.175669074E-3	-1.350975037E-2	2.203849999E-2
1.409631492E0	6.744928658E-3	-9.508028626E-3	-1.221752167E-2	1.688681458E-2
1.414697410E0	2.438085899E-2	1.905433834E-2	1.162528992E-2	3.305512759E-2
1.419763328E0	-6.807565689E-3	-1.673424244E-2	-2.882862091E-2	3.402156969E-2
1.424829246E0	-5.621440709E-3	-3.545910120E-3	-1.910209656E-2	2.022533478E-2
1.429895164E0	2.665568143E-3	-3.525882959E-3	-9.441375732E-3	1.042481078E-2
1.434961082E0	-1.403827593E-2	2.322018147E-3	-2.004814148E-2	2.458440433E-2
1.440027000E0	2.574358135E-3	1.762384176E-2	3.116989136E-2	3.589971094E-2
1.445123435E0	-1.527317241E-2	-5.130842328E-3	3.596305847E-3	1.650844493E-2
1.450189353E0	1.210069656E-2	-4.134029150E-4	-1.780128479E-2	2.152866692E-2
1.455255271E0	1.781257242E-2	1.383452117E-2	-5.790710449E-3	2.328548990E-2
1.460321189E0	5.874417722E-3	3.507538140E-2	2.394580841E-2	4.287415194E-2
1.465387107E0	-1.188180968E-2	-3.170177341E-3	-2.611160278E-2	2.886248821E-2
1.470453025E0	1.189163700E-2	-3.287820518E-2	-1.283740997E-2	3.724495269E-2
1.475518943E0	-1.196394861E-2	-8.768841624E-3	1.219367981E-2	1.920193941E-2
1.480615379E0	1.061438024E-2	1.746395230E-2	-9.651184082E-4	2.045937808E-2
1.485681297E0	-1.328053325E-2	5.393490195E-3	-2.139091492E-3	1.449268824E-2
1.490747214E0	-2.752652019E-2	6.467297673E-3	-2.943611145E-2	4.081690716E-2
